"code_loc","site_ID","DateTimeOriginal","question__species","question__count_median","capture_date_local","capture_time_local"
"KAR","KAR_A01","2017-11-27 17:29:13","duikercommon",1,"2017-11-27","17:29:13"
"KAR","KAR_B03","2017-12-13 17:29:19","baboon",1,"2017-12-13","17:29:19"
"KAR","KAR_C03","2017-11-16 17:16:05","gemsbokoryx",1,"2017-11-16","17:16:05"
"KAR","KAR_A01","2017-12-02 23:25:56","jackalblackbacked",1,"2017-12-02","23:25:56"
"KAR","KAR_D03","2018-01-18 18:40:16","steenbok",1,"2018-01-18","18:40:16"
"KAR","KAR_B02","2018-02-01 12:08:53","kudu",1,"2018-02-01","12:08:53"
"KAR","KAR_C02","2018-01-22 13:19:48","zebramountain",1,"2018-01-22","13:19:48"
"KAR","KAR_E01","2018-02-05 14:13:39","kudu",1,"2018-02-05","14:13:39"
"KAR","KAR_D04","2017-11-04 06:56:53","ostrich",1,"2017-11-04","06:56:53"
"KAR","KAR_E03","2017-11-19 08:14:35","duikercommon",1,"2017-11-19","08:14:35"
"KAR","KAR_B03","2018-01-01 15:20:01","hartebeestred",2,"2018-01-01","15:20:01"
"KAR","KAR_B02","2017-11-11 10:26:11","ostrich",1,"2017-11-11","10:26:11"
"KAR","KAR_B03","2018-01-13 05:45:56","eland",1,"2018-01-13","05:45:56"
"KAR","KAR_A01","2017-12-20 20:47:59","kudu",1,"2017-12-20","20:47:59"
"KAR","KAR_C02","2017-10-20 09:24:03","gemsbokoryx",1,"2017-10-20","09:24:03"
"KAR","KAR_A01","2018-01-24 08:36:39","gemsbokoryx",1,"2018-01-24","08:36:39"
"KAR","KAR_B02","2018-01-08 05:45:20","duikercommon",1,"2018-01-08","05:45:20"
"KAR","KAR_A01","2017-12-24 07:56:32","springbok",1,"2017-12-24","07:56:32"
"KAR","KAR_B03","2017-10-05 12:39:39","gemsbokoryx",1,"2017-10-05","12:39:39"
"KAR","KAR_B02","2017-11-08 05:42:07","baboon",1,"2017-11-08","05:42:07"
"KAR","KAR_E03","2017-10-04 18:16:21","gemsbokoryx",1,"2017-10-04","18:16:21"
"KAR","KAR_A01","2017-10-07 12:29:16","zebramountain",1,"2017-10-07","12:29:16"
"KAR","KAR_B01","2018-01-29 17:07:00","gemsbokoryx",1,"2018-01-29","17:07:00"
"KAR","KAR_D03","2017-11-04 05:41:29","hartebeestred",2,"2017-11-04","05:41:29"
"KAR","KAR_C02","2017-12-02 06:59:43","kudu",1,"2017-12-02","06:59:43"
"KAR","KAR_A01","2017-12-06 06:59:40","eland",1,"2017-12-06","06:59:40"
"KAR","KAR_D03","2017-11-27 07:54:23","kudu",1,"2017-11-27","07:54:23"
"KAR","KAR_E03","2018-01-29 09:08:20","eland",1,"2018-01-29","09:08:20"
"KAR","KAR_D01","2018-01-06 07:10:10","gemsbokoryx",3,"2018-01-06","07:10:10"
"KAR","KAR_B02","2017-11-13 22:52:10","eland",3,"2017-11-13","22:52:10"
"KAR","KAR_B03","2017-10-13 10:16:22","gemsbokoryx",1,"2017-10-13","10:16:22"
"KAR","KAR_B02","2017-11-25 06:40:54","eland",3,"2017-11-25","06:40:54"
"KAR","KAR_A01","2017-11-30 13:46:45","kudu",2,"2017-11-30","13:46:45"
