spp_mysites,label,guild_realm,specif_guild,specif_guild2,specif_guild3,weight,Body_size_cat,Scientific_name,Common_name,scien_code,comm_code,Order,Family,IUCN_cat,W.Male,W.female,herd_size,water_dependance,gut_type
serval,serval,Carnivore,Stalk and ambush,Stalk and ambush,Medium carnivores,16.5,Medium,Leptailurus serval,Serval,LESE,SERV,Carnivora,Felidae,LC,NA,NA,NA,NA,NA
springbok,springbok,Herbivore,Browser-grazer intermediate,MSMix,Medium-sized social mixed diet,36,Medium,Antidorcas marsupialis ,Springbok,ANMA,SPRI,Artiodactyla,Bovidae,LC,NA,NA,Mega-groups,Low,Ruminant
steenbok,steenbok,Herbivore,Browser-grazer intermediate,SNSBr,Small nonsocial browsers,11.5,Medium,Raphicerus campestris,Steenbok,RACA,STEN,Artiodactyla,Bovidae,LC,NA,NA,Solitary/pairs,None,Ruminant
tsessebe,tsessebe,Herbivore,Obligate Grazer,MSMix,Medium-sized social mixed diet,126.7,Large,Damaliscus lunatus,Tsessebe (Common),DALU,TSES,Artiodactyla,Bovidae,LC,NA,NA,Mega-groups,Low,Ruminant
warthog,warthog,Omnivore,Omnivore,Omnivore,Omnivores,75.9,Large,Phacochoerus africanus,Warthog (Common),PHAF,WART,Artiodactyla,Suidae,LC,NA,NA,NA,NA,NA
waterbuck,waterbuck,Herbivore,Variable Grazer,WDGr,Water-dependent grazers,217.5,Extra-large,Kobus ellipsiprymnus,Waterbuck,KOEL,WABU,Artiodactyla,Bovidae,LC,NA,NA,Family,High,Ruminant
wildcat,wildcat,Carnivore,Small carnivore,Small carnivore,Small carnivores,4.25,Small,Felis silvestris,Wildcat (African),FESI,WICA,Carnivora,Felidae,LC,NA,NA,NA,NA,NA
wilddog,wild dog,Carnivore,Bone crushing,Bone crushing,Large carnivores,26.5,Large,Lycaon pictus,Wild dog,LYPI,WIDO,Carnivora,Canidae,EN,NA,NA,NA,NA,NA
wildebeestblack,black wildebeest,Herbivore,Variable Grazer,WDGr,Water-dependent grazers,146,Large,Connochaetes gnou,Wildebeest (Black),COGN,WIBK,Artiodactyla,Bovidae,LC,167,125,Gregarious,High,Ruminant
wildebeestblue,blue wildebeest,Herbivore,Variable Grazer,WDGr,Water-dependent grazers,203.75,Extra-large,Connochaetes taurinus,Wildebeest (Blue),COTA,WIBU,Artiodactyla,Bovidae,LC,210,197.5,Mega-groups,High,Ruminant
zebraburchells,Burchell's zebra,Herbivore,Obligate Grazer,NRum,Nonruminants,272.5,Extra-large,Equus quagga/Equus burchellii,Zebra (Burchell's),EQBU,ZEBU,Perissodactyla,Equidae,NT,NA,NA,Family,High,Non-ruminant
zebramountain,mountain zebra,Herbivore,Variable Grazer,NRum,Nonruminants,255,Extra-large,Equus zebra,Zebra (Mountain),EQZE,ZEBM,Perissodactyla,Equidae,VU,NA,NA,Family,High,Non-ruminant
